Key,File,Type,UsedInMainMenu,NoTranslate,english,german,Context
ForgeTier2,blocks,Workstation,,,Forge Tier 2,Fortgeschrittene Schmiede,
ForgeTier3,blocks,Workstation,,,Forge Tier 3,Außergewöhnliche Schmiede,
statCraftingSmeltTimeForgeTier2,ui_display,Item stat,,,Increase forge smelting speed,Steigert die Schmelzgeschwindigkeit der Schmiede,
statCraftingSmeltTimeForgeTier3,ui_display,Item stat,,,Increase forge smelting speed,Steigert die Schmelzgeschwindigkeit der Schmiede,
statCraftingTimeForgeTier2,ui_display,Item stat,,,Increase forge crafting speed,Verringert die Fertigungszeit der Schmiede,
statCraftingTimeForgeTier3,ui_display,Item stat,,,Increase forge crafting speed,Verringert die Fertigungszeit der Schmiede,
toolAnvilTier2,items,Item,,,Anvil Tier 2,Fortgeschrittener Amboss,
toolAnvilTier2Desc,items,Item,,,Anvil Tier 2,"Eine fortgeschrittene Anfertigung eines Werkzeugs, das in einer Schmiede aufgestellt werden kann. Erhöht die Fertigungsgeschwindigkeit dieser Schmiede.",
toolAnvilTier3,items,Item,,,Anvil Tier 3,Außergewöhnlicher Amboss,
toolAnvilTier3Desc,items,Item,,,Anvil Tier 3,"Eine außergewöhnliche Anfertigung eines Werkzeugs, das in einer Schmiede aufgestellt werden kann. Erhöht die Fertigungsgeschwindigkeit dieser Schmiede.",
toolBellowsTier2,items,Item,,,Bellows Tier 2,Fortgeschrittener Blasebalg,
toolBellowsTier2Desc,items,Item,,,Bellows Tier 2,"Eine fortgeschrittene Anfertigung eines Werkzeugs, das in der Schmiede aufgestellt werden kann, um den Luftstrom und damit die Schmelzgeschwindigkeit zu verbessern.",
toolBellowsTier3,items,Item,,,Bellows Tier 3,Außergewöhnlicher Blasebalg,
toolBellowsTier3Desc,items,Item,,,Bellows Tier 3,"Eine außergewöhnliche Anfertigung eines Werkzeugs, das in der Schmiede aufgestellt werden kann, um den Luftstrom und damit die Schmelzgeschwindigkeit zu verbessern.",
bookForgedObsessionDesc,items,Item,,,Learn how all the pros forge their items!,Lerne wie ein Profi zu Schmieden!,
bookForgedObsession,items,Item,,,Forged Obsession Magazine,Schmied Fanatiker Magazin,
attForgedObsessionDesc,progression,Attribute,,,This line of skills will let you craft the Tiered Forges and their tools.,"Durch das Lesen von [FF240E]Schmied Fanatiker[-] Magazinen bekommst du ein tieferes Verständnis dafür wie du effizientere Schmieden und dessen Werkzeuge herstellen kannst.",
attForgedObsessionName,progression,Attribute,,,[FF240E]Forged Obsession[-],[FF240E]Schmiedmeister[-],
ForgeTier2Name,progression,Attribute,,,Forge Tier 2,Fortgeschrittene Schmiede,
ForgeTier3Name,progression,Attribute,,,Forge Tier 3,Außergewöhnliche Schmiede,
attwsh,progression,Attribute,,,WSH,WSH,
attWSHName,progression,Attribute,,,,[7559EC]Super Heftigkeit[-],
attWSHDesc,progression,Attribute,,,,Beweise deine Super Heftigkeit und meistere unsere Community Fähigkeiten.,
attWSHRank01Desc,progression,Attribute,,,Hover your mouse here for tips.,Guck ma hier.,
attWSHRank01LongDesc,progression,Attribute,,,,,
toolBellows,items,Item,,,Bellows,Blasebalg,
perkForgeFreakName,progression,perk,,,Forge Freak,Schmiedkunst,
perkForgeFreakDesc,progression,perk,,,This Skill will help you find more [FF240E]Forged Obsession[-] Magazines!,Verbessere diese Fähigkeit um mehr [FF240E]Schmied Fanatiker[-] Magazine finden zu können.,
ForgeRookieDesc,progression,perk,,,Forge Rookie,Schmied Anfänger,
ForgeRookieLongDesc,progression,perk,,,You are a forge rookie. Find more Forge Obsession Magazines in loot.,Du bist jetzt ein Schmied Anfänger. Du kannst nun mehr Schmied Fanatiker Magazine in Beute finden als sonst.,
ForgeNoviceDesc,progression,perk,,,Forge Novice,Schmied Lehrling,
ForgeNoviceLongDesc,progression,perk,,,You are a forge Novice now. Find even more Forge Obsession Magazines in loot.,Du bist nun ein Schmied Lehrling und kannst noch viel mehr Schmied Fanatiker Magazine in Beute finden als gewohnt.,
BlacksmithDesc,progression,perk,,,Blacksmith,fortgeschrittener Schmied,
BlacksmithLongDesc,progression,perk,,,You basically a blacksmith now. Find alot more Forge Obsession Magazines in loot. -10% needed resources to craft forges and tools.,Deine Leidenschaft für die Schmiedekunst macht sich bemerkbar. Deine fortgeschrittenen Kenntnisse erlauben dir deutlich mehr Schmied Fanatiker Magazine in Beute finden zu können als vorher. Außerdem kannst du Schmieden und dessen Werkzeuge mit einem 10% reduzierten Ressourcenverbrauch herstellen.,
MrSmeltDesc,progression,perk,,,Mr. Smelt,erfahrener Schmied,
MrSmeltLongDesc,progression,perk,,,You are Mr. Smelt. Find a shit ton Forge Obsession Magazines in loot. -20% needed resources to craft forges and tools.,"Starke Leistung du bist weit gekommen. Du bist so gut geworden, dass du praktisch einem Schmiedmeister gleichgesetzt werden kannst. Du kannst nun bedeutend mehr Schmied Fanatiker Magazine in Beute finden und hast jetzt einen 20% reduzierten Ressourcenverbrauch beim herstellen von Schmieden und dessen Werkzeuge.",
CrazyForgeManDesc,progression,perk,,,Crazy Forge Man,Verrückter Schmiedmeister,
CrazyForgeManLongDesc,progression,perk,,,You are now the crazy forge man. No one should ever harness this power... Find a fuck ton more Forge Obsession Magazines in loot. -30% needed resources to craft forges and tools.,"Du bist absolut verrückt! Es ist als wärst du besessen. Deine Schmiedetechnik ist jenseits vom normalen und übertrifft die besten Schmiedmeister. Kann man dich überhaupt noch einen Menschlichen Schmied nennen? Du bist nun in der Lage außergwöhnlich viele Schmied Fanatiker Magazine in Beute zu finden und hast außerdem einen 30% reduzierten Ressourcenverbrauch beim herstellen von Schmieden und dessen Werkzeuge. Das toppt doch keiner mehr..",
