Key,File,Type,English,German
guppyFlamethrower,items,Gun,Flamethrower,Flammenwerfer
guppyFlamethrowerDesc,items,Gun,Burn your enemies. Burn them all...,Zünde deine Gegner an. Brenne alles nieder...
ammoNapalm,items,Ammo,Napalm,Napalm
ammoNapalmDesc,items,Ammo,Napalm is used as fuel for Flamethrower,Napalm wird als Treibstoff für Flammenwerfer verwendet.
ammoCO2,items,Ammo,CO²,CO²
ammoCO2Desc,items,Ammo,CO² is used as fuel for Fire Extinguisher and is needed to refill them,CO² ist der Treibstoff für Feuerlöscher und wird zum wiederauffüllen benötigt.
guppyFireExtinguisherItem,items,Tool,Fire Extinguisher,Feuerlöscher
guppyFireExtinguisherItemDesc,items,Tool,Put out a fire.,Lösche ein Feuer.
guppysFireExtinguisherBlock,blocks,Block,Fire Extinguisher,Feuerlöscher
guppysFireExtinguisherBlockDesc,blocks,Block,Pick up and keep this as you may need it later,Aufsammeln und behalten es könnte später nützlich werden.
guppyOilSlickGoesInDitch,blocks,Block,Ditch Oil Slick
guppyOilSlickGoesInDitchDesc,blocks,Block,Place in a terrain ditch - This will float up a bit to show in a ditch, so do not use if placing on a flat surface for best visual effect. Light this on fire.
gupOilSlickGoesOnBlock,blocks,Block,Oil Slick,Ölschicht
gupOilSlickGoesOnBlockDesc,blocks,Block,Highly flammable material! Can be placed to trap unwanted guests.,Leicht entflammbares Material! Kann platziert werden um unerwünschten Gästen eine Falle zu stellen.
